appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1522913746,OPPO R11s,110.53.246.37:1935,9180_935007,207,1,800,24117888,1524243358834,2018-04-21 00:56:07
1253216102,9180,1515729314,iPhone 6,157.255.128.37:1935,9180_942492,112,1,1200,35652544,1524243451685,2018-04-21 00:57:31
1253216102,9180,948670561,vivo Y66L,222.84.158.169:1935,9180_750190,105,1,800,24117888,1524243514467,2018-04-21 00:58:35
1253216102,9180,1519930368,vivo X9i,180.101.217.37:1935,9180_971394,64,1,800,24117888,1524243541282,2018-04-21 00:58:57
1253216102,9180,1526348264,OPPO R9tm,183.232.254.159:1935,9180_939033,87,1,1200,35652544,1524243560250,2018-04-21 00:59:22
1253216102,9180,1534331198,MP1603,111.12.28.21:1935,9180_897918,42,1,1200,35652544,1524243592928,2018-04-21 00:59:35
1253216102,9180,946258986,iPhone 7 Plus (CDMA),123.172.120.169:1935,9180_186144,88,1,0,35652544,1524243583886,2018-04-21 00:59:44
1253216102,9180,1519930369,vivo X5M,14.215.166.34:1935,9180_971393,243,1,1200,35652544,1524243590459,2018-04-21 00:59:51
1253216102,9180,1519469968,BKL-AL20,113.105.155.167:1935,9180_966047,207,2,1200,35652544,1524243609785,2018-04-21 01:00:12
1253216102,9180,337909148,OPPO R11s,218.75.176.89:1935,9180_812892,86,1,1800,47187200,1524243659401,2018-04-21 01:01:00
1253216102,9180,317759928,MP1503,111.7.189.164:1935,9180_720294,63,1,1200,35652544,1524243686602,2018-04-21 01:01:37
1253216102,9180,1519930398,MHA-AL00,106.119.182.42:1935,9180_971396,74,1,1200,35652544,1524243699722,2018-04-21 01:01:40
1253216102,9180,1518895622,Mi Note 2,121.51.40.118:1935,9180_961015,347,1,1200,35652544,1524243663821,2018-04-21 01:01:42
1253216102,9180,1523399132,vivo X9Plus,110.53.180.172:1935,9180_937871,127,2,1200,35652544,1524243631715,2018-04-21 01:01:55
1253216102,9180,1519930592,vivo X7,218.75.176.89:1935,9180_971384,115,1,1200,35652544,1524243744157,2018-04-21 01:02:25
1253216102,9180,1515745070,vivo X9s Plus L,123.6.6.29:1935,9180_943170,61,1,1200,35652544,1524243723324,2018-04-21 01:02:45
1253216102,9180,1519327133,vivo X7,111.12.28.21:1935,9180_962522,45,1,1200,35652544,1524243869519,2018-04-21 01:04:11
1253216102,9180,1520020001,vivo V3M A,117.157.18.30:1935,9180_971004,242,1,1200,35652544,1524243854842,2018-04-21 01:04:16
1253216102,9180,1527672533,MP1701,58.216.107.37:1935,9180_899059,67,1,1800,47187200,1524243859227,2018-04-21 01:04:19
1253216102,9180,1519440147,vivo Y66,112.90.58.159:1935,9180_969561,5139,2,1200,35652544,1524243924950,2018-04-21 01:05:27
1253216102,9180,1519930397,vivo X20A,111.47.223.37:1935,9180_971397,36,1,1200,35652544,1524243948358,2018-04-21 01:05:48
1253216102,9180,1517877451,vivo X20A,42.236.125.42:1935,9180_968451,80,2,1200,35652544,1524243978266,2018-04-21 01:06:18
1253216102,9180,1518312089,vivo X21A,183.232.152.159:1935,9180_967518,114,2,1200,35652544,1524244013274,2018-04-21 01:06:55
1253216102,9180,1519930396,JMM-AL00,1.31.173.41:1935,9180_971398,106,1,1200,35652544,1524244017538,2018-04-21 01:07:11
1253216102,9180,1517847517,OPPO A59m,118.180.26.16:1935,9180_968290,336,1,1800,47187200,1524244040827,2018-04-21 01:07:21
1253216102,9180,955569271,vivo X20,180.101.217.38:1935,9180_775163,28,1,1200,35652544,1524244056481,2018-04-21 01:07:44
1253216102,9180,1519326743,OPPO R11t,112.47.9.28:1935,9180_962567,98,2,1200,35652544,1524244100163,2018-04-21 01:08:45
1253216102,9180,1527600303,OPPO A59s,125.78.252.38:1935,9180_899943,43,1,1200,35652544,1524244128946,2018-04-21 01:08:49
1253216102,9180,1519930395,CUN-AL00,1.198.4.37:1935,9180_971399,5231,1,1200,35652544,1524244143757,2018-04-21 01:09:05
1253216102,9180,1681739118,"iPhone10,3",223.87.3.16:1935,9180_84383,16,1,0,35652544,1524244182408,2018-04-21 01:09:42
1253216102,9180,1520316785,vivo X9Plus,43.242.181.31:1935,9180_971401,220,2,1200,35652544,1524244206359,2018-04-21 01:10:05
1253216102,9180,1529378913,OPPO R9m,183.230.74.38:1935,9180_954662,71,1,1800,47187200,1524244208670,2018-04-21 01:10:09
1253216102,9180,87602960,OPPO A59s,218.11.8.28:1935,9180_607837,152,2,1200,35652544,1524244215993,2018-04-21 01:10:25
1253216102,9180,615252230,OPPO A79t,58.216.106.169:1935,9180_914520,75,1,1200,35652544,1524244251358,2018-04-21 01:10:51
1253216102,9180,1525425460,vivo X6Plus A,14.204.144.168:1935,9180_969639,87,1,1200,35652544,1524244285931,2018-04-21 01:11:26
1253216102,9180,1518081067,vivo X9,113.105.155.167:1935,9180_965366,35,1,1200,35652544,1524244327600,2018-04-21 01:12:06
1253216102,9180,1515766778,"iPhone10,2",111.47.228.29:1935,9180_942953,369,1,0,35652544,1524244356110,2018-04-21 01:12:38
1253216102,9180,1520316787,iPhone 6 Plus,117.169.71.167:1935,9180_971403,26,1,1200,35652544,1524244423020,2018-04-21 01:13:43
1253216102,9180,1518080115,iPhone 6s,218.75.176.89:1935,9180_965476,85,1,417,35652544,1524244450775,2018-04-21 01:14:17
1253216102,9180,343523345,BLN-AL40,183.232.254.159:1935,9180_792070,57,1,1200,35652544,1524244542199,2018-04-21 01:15:43
1253216102,9180,1518896681,iPhone 6s,222.218.80.151:1935,9180_961302,38,1,1200,35652544,1524244560968,2018-04-21 01:16:01
1253216102,9180,1518906065,OPPO A77,118.180.26.16:1935,9180_961676,374,1,1200,35652544,1524244640682,2018-04-21 01:17:17
1253216102,9180,1518601167,vivo X20A,111.62.242.159:1935,9180_970384,886,1,1200,35652544,1524244676514,2018-04-21 01:17:56
